"Estimator","Mean Fit Time","Mean Score Time","Mean MSE","Mean RMSE","Mean MAE","Mean R-Squared"
"LinearRegression",57,4.84,9444808.95,3073.24,2249.34,0.81
"Lasso",787.97,3.13,9446957.22,3073.59,2249.55,0.81
"Ridge",26.99,5.03,9444701.58,3073.22,2252.23,0.81
"ElasticNet",54.49,6.13,31139231.96,5580.25,4628.64,0.36
"llars",46.85,8,10164815.45,3188.23,2333.31,0.79
"ExtraTreesRegressor",9321.52,58.06,5562579.53,2358.51,1605,0.89
"RandomForestRegressor",16567.46,13.99,5882618.89,2425.41,1646.29,0.88
"AdaBoostRegressor",8897.55,26.9,18551963.36,4307.2,3544.49,0.62
"GradientBoostingRegressor",6417.62,8.16,6744402.87,2597,1833.62,0.86
"SVR",19170.82,5221.66,51217167.5,7156.62,5926.75,-0.05
"KNeighborsRegressor",118.89,15215.87,10107201.23,3179.18,2246.6,0.79
